Labels,Latitude,Longitude,Capacity
ParkingVelo291,48.8750868,2.3823845,6
ParkingVelo292,48.8425735,2.3448266,16
ParkingVelo293,48.89407,2.3541395,8
ParkingVelo294,48.8919178,2.3461312,18
ParkingVelo295,48.8919172,2.3465332,10
ParkingVelo296,48.8751862,2.4062581,16
ParkingVelo298,48.8462277,2.411742,14
ParkingVelo299,48.8437272,2.2985692,14
ParkingVelo300,48.8455622,2.3254205,8
ParkingVelo301,48.8459266,2.3259701,6
ParkingVelo302,48.8459823,2.3258325,8
ParkingVelo303,48.8464046,2.3264369,6
ParkingVelo304,48.8917231,2.3439289,10
ParkingVelo305,48.8911936,2.3438217,10
ParkingVelo306,48.8933677,2.3614579,16
ParkingVelo307,48.886158,2.3474531,8
ParkingVelo308,48.8462441,2.3928123,10
ParkingVelo309,48.8935858,2.3294419,10
ParkingVelo310,48.8878886,2.3544671,12
ParkingVelo311,48.888035,2.3559929,14
ParkingVelo312,48.8715088,2.3415405,16
ParkingVelo313,48.8742566,2.3321933,14
ParkingVelo314,48.8943115,2.3353149,6
ParkingVelo315,48.8989015,2.3399389,46
ParkingVelo316,48.8997641,2.352249,0
ParkingVelo317,48.8921367,2.3344962,34
ParkingVelo318,48.8922113,2.3315907,8
ParkingVelo319,48.8856755,2.3448166,12
ParkingVelo320,48.8930492,2.3634189,10
ParkingVelo321,48.8899694,2.360319,8
ParkingVelo322,48.8762979,2.3397799,14
ParkingVelo323,48.8766916,2.3405068,6
ParkingVelo324,48.8933632,2.349143,10
ParkingVelo325,48.8246814,2.3553842,8
ParkingVelo326,48.8895787,2.3163763,42
ParkingVelo327,48.8933697,2.3385476,18
ParkingVelo328,48.8413047,2.3118413,14
ParkingVelo329,48.8433854,2.3736074,24
ParkingVelo330,48.8258483,2.3424215,20
ParkingVelo331,48.8511276,2.309156,6
ParkingVelo332,48.8518448,2.3096893,32
ParkingVelo333,48.8369998,2.3933276,6
ParkingVelo334,48.8545406,2.2743063,10
ParkingVelo335,48.8589498,2.2771432,4
ParkingVelo336,48.8599663,2.3498107,12
ParkingVelo337,48.8968407,2.385759,89
ParkingVelo338,48.8650225,2.3980938,8
ParkingVelo339,48.8278631,2.305803,18
ParkingVelo340,48.8302111,2.3335717,20
ParkingVelo341,48.8254006,2.3802275,20
ParkingVelo342,48.8394454,2.3963015,12
ParkingVelo343,48.8605836,2.3512053,10
ParkingVelo344,48.8983124,2.3619791,8
ParkingVelo345,48.8983052,2.3616571,8
ParkingVelo346,48.8983727,2.3648554,8
ParkingVelo347,48.8982739,2.3562517,16
ParkingVelo348,48.8751227,2.3351717,8
ParkingVelo349,48.8435876,2.304387,8
ParkingVelo350,48.8431627,2.3045956,4
ParkingVelo351,48.8918604,2.3633062,10
ParkingVelo352,48.8756291,2.3432721,19
ParkingVelo353,48.876056,2.3438036,6
ParkingVelo354,48.8762724,2.3440214,14
ParkingVelo355,48.8430094,2.4085911,12
ParkingVelo356,48.8444246,2.4068439,6
ParkingVelo357,48.8418064,2.4082816,12
ParkingVelo358,48.8257905,2.3467946,12
ParkingVelo359,48.8265986,2.3354493,6
ParkingVelo360,48.827261,2.3352018,20
ParkingVelo361,48.8330622,2.3958487,18
ParkingVelo362,48.8337593,2.3951894,10
ParkingVelo363,48.8342999,2.3975412,12
ParkingVelo364,48.8347283,2.393517,6
ParkingVelo365,48.8348524,2.3972538,10
ParkingVelo366,48.8348528,2.3933879,14
ParkingVelo367,48.8349654,2.3960429,10
ParkingVelo368,48.836093,2.3872353,19
ParkingVelo369,48.8361301,2.3949355,8
ParkingVelo370,48.8361987,2.398915,14
ParkingVelo371,48.8364225,2.3949414,8
ParkingVelo372,48.8364114,2.3988915,28
ParkingVelo373,48.8365901,2.3983387,10
ParkingVelo374,48.8366307,2.3929968,8
ParkingVelo375,48.8366498,2.3952361,2
ParkingVelo376,48.8366926,2.3943911,16
ParkingVelo377,48.8369456,2.4019945,12
ParkingVelo378,48.8370517,2.3917343,10
ParkingVelo379,48.8380576,2.3941408,6
ParkingVelo380,48.8382377,2.3966077,12
ParkingVelo381,48.8384552,2.3930961,12
ParkingVelo382,48.8392409,2.4005643,6
ParkingVelo383,48.8394032,2.4089298,16
ParkingVelo384,48.8394495,2.3963162,24
ParkingVelo385,48.8400034,2.4389047,40
ParkingVelo386,48.8401062,2.4087456,8
ParkingVelo387,48.840289,2.4025867,10
ParkingVelo388,48.8402278,2.3923303,10
ParkingVelo389,48.8404124,2.3925418,8
ParkingVelo390,48.8405483,2.3878711,20
ParkingVelo391,48.8406298,2.4087338,18
ParkingVelo392,48.8409027,2.4094165,14
ParkingVelo393,48.8411636,2.4011997,10
ParkingVelo394,48.8411803,2.3882942,28
ParkingVelo395,48.8414535,2.404902,12
ParkingVelo396,48.8415076,2.4114849,28
ParkingVelo397,48.8415472,2.3867243,18
ParkingVelo398,48.8416945,2.4012693,10
ParkingVelo399,48.84188,2.4013381,8
ParkingVelo400,48.8421828,2.4051143,8
ParkingVelo401,48.8426844,2.4100019,18
ParkingVelo402,48.8432742,2.405413,6
ParkingVelo403,48.8435321,2.4018263,8
ParkingVelo404,48.8438996,2.4054407,10
ParkingVelo405,48.8438773,2.4018701,34
ParkingVelo406,48.844094,2.4107214,14
ParkingVelo407,48.8445483,2.4022397,8
ParkingVelo408,48.844569,2.383835,6
ParkingVelo409,48.8447898,2.4039244,10
ParkingVelo410,48.8450298,2.3819486,10
ParkingVelo411,48.8449844,2.405853,8
ParkingVelo412,48.8451327,2.3991425,26
ParkingVelo413,48.8456388,2.4058537,10
ParkingVelo414,48.845814,2.3781933,4
ParkingVelo415,48.8460104,2.4011209,8
ParkingVelo416,48.846825,2.37612,8
ParkingVelo417,48.8469298,2.3998639,10
ParkingVelo418,48.847021,2.3751906,8
ParkingVelo419,48.8475637,2.3772093,8
ParkingVelo420,48.8476592,2.3969055,12
ParkingVelo421,48.848625,2.376189,12
ParkingVelo422,48.8486464,2.3760764,6
ParkingVelo423,48.84865,2.3759526,6
ParkingVelo424,48.8486995,2.3922091,26
ParkingVelo425,48.8488565,2.3718825,8
ParkingVelo426,48.8491798,2.37059,14
ParkingVelo427,48.8493017,2.3945271,6
ParkingVelo428,48.849418,2.3667122,28
ParkingVelo429,48.8496195,2.399243,20
ParkingVelo430,48.850144,2.3736032,10
ParkingVelo431,48.8502074,2.3990446,20
ParkingVelo432,48.8507792,2.3673682,10
ParkingVelo433,48.8516928,2.361908,14
ParkingVelo434,48.851827,2.3893692,22
ParkingVelo435,48.8518366,2.361676,20
ParkingVelo436,48.8521525,2.3608127,28
ParkingVelo437,48.8522569,2.3609901,10
ParkingVelo438,48.8526958,2.359318,16
ParkingVelo439,48.8527306,2.3599126,10
